type,date,Numar de zile,Numar de legi
PA,1/1/95,0,1
PA,1/1/96,30,2
PA,1/1/97,4,191
PA,1/1/98,5,289
PA,1/1/99,5,223
PA,1/1/00,5,238
PA,1/1/01,4,949
PA,1/1/02,5,814
PA,1/1/03,4,620
PA,1/1/04,4,620
PA,1/1/05,4,453
PA,1/1/06,5,581
PA,1/1/07,5,464
PA,1/1/08,8,351
PA,1/1/09,4,432
PA,1/1/10,5,326
PA,1/1/11,4,382
PA,1/1/12,4,263
PA,1/1/13,16,342
PA,1/1/14,5,45
PA,1/1/15,4,36
SE,1/1/93,0,1
SE,1/1/95,251,2
SE,1/1/96,0,7
SE,1/1/97,8,259
SE,1/1/98,32,328
SE,1/1/99,34,270
SE,1/1/00,34,390
SE,1/1/01,28,861
SE,1/1/02,22,638
SE,1/1/03,15,578
SE,1/1/04,8,826
SE,1/1/05,27,902
SE,1/1/06,53,1157
SE,1/1/07,51,1111
SE,1/1/08,57,763
SE,1/1/09,46,866
SE,1/1/10,60,995
SE,1/1/11,60,906
SE,1/1/12,92,525
SE,1/1/13,65,456
SE,1/1/14,104,19
SE,1/1/15,704,23
CD,1/1/90,0,1
CD,1/1/92,0,1
CD,1/1/93,59,1
CD,1/1/95,0,2
CD,1/1/96,49,12
CD,1/1/97,10,422
CD,1/1/98,17,605
CD,1/1/99,25,743
CD,1/1/00,27,980
CD,1/1/01,41,1778
CD,1/1/02,23,1112
CD,1/1/03,17,1090
CD,1/1/04,22,1060
CD,1/1/05,14,822
CD,1/1/06,14,1238
CD,1/1/07,14,1100
CD,1/1/08,24,930
CD,1/1/09,30,1191
CD,1/1/10,20,1176
CD,1/1/11,26,1260
CD,1/1/12,42,966
CD,1/1/13,63,994
CD,1/1/14,79,249
CD,1/1/15,130,138
CD,1/1/16,485,1
